source,authors,year,title,journal,vol,pages,antag,additive,synerg,review,times.cited
Scopus,"Milchunas, D.G., Schulz, K.A., Shaw, R.B.",1999,Plant community responses to disturbance by mechanized military maneuvers,Journal of Environmental Quality,28,1533-1547,1,1,1,0,NA
WOS,P. Dufour,1999,Nutrient control of phytoplanktonic biomass in atoll lagoons and Pacific ocean waters: Studies with factorial enrichment bioassays,Journal of Experimental Marine Biology and Ecology,234,147-166,0,0,1,0,NA
Scopus,"Breitburg D., Seitzinger S., Sanders J.",1999,"Variability in responses to nutrients and trace elements, and transmission of stressor effects through an estuarine food web",Limnology and Oceanography,44,837-863,1,0,0,0,NA
WOS,C.L. Folt,1999,Synergism and antagonism among multiple stressors,Limnology and Oceanography,44,864-877,1,0,1,0,NA
Scopus,"Folt C.L., Chen C.Y., Moore M.V., Burnaford J.",1999,Synergism and antagonism among multiple stressors,Limnology and Oceanography,44,864-877,1,1,1,0,NA
WOS,J. W. Porter,1999,The effect of multiple stressors on the Florida Keys coral reef ecosystem: A landscape hypothesis and a physiological test,Limnology and Oceanography,44,941-949,0,0,1,0,NA
WOS,I. Linke-Gamenick,1999,Density-dependent effects of a toxicant on life-history traits and population dynamics of a capitellid polychaete,Marine Ecology Progress Series,184,139-148,0,0,1,0,NA
WOS,P. J. C. Honkoop,1999,Experimentally extending the spawning season of a marine bivalve using temperature change and fluoxetine as synergistic triggers,Marine Ecology Progress Series,180,297-300,0,0,1,0,NA
WOS,J. A. Steevens,1999,Effects of ultraviolet-B light and polyaromatic hydrocarbon exposure on sea urchin development and bacterial bioluminescence,Marine Environmental Research,48,439-457,0,1,0,0,NA
WOS,E. J. Weissberger,1999,"Additive interactions between the moon snail Euspira heros and the sea star Asterias forbesi, two predators of the surfclam Spisula solidissima",Oecologia,119,461-466,0,1,0,0,NA
Scopus,"Reusch, T.B.H., Williams, S.L.",1999,Macrophyte canopy structure and the success of an invasive marine bivalve,Oikos,84,398-416,0,0,1,0,NA
Scopus,"Forbes, B.C.",1999,Land use and climate change on the Yamal Peninsula of north-west Siberia: Some ecological and socio-economic implications,Polar Research,18,367-373,0,0,1,1,NA
Scopus,"Hartshorn, G., Bynum, N.",1999,Tropical forest synergies,Science,286,2093-2094,0,0,1,1,NA
Scopus,"Dahlgaard, J., Hoffmann, A.A.",2000,Stress resistance and environmental dependency of inbreeding depression in Drosophila melanogaster,Conservation Biology,14,1187-1192,0,0,1,0,NA
Scopus,"Pahkala, M., Laurila, A., Merila, J.",2000,Ambient ultraviolet-B radiation reduces hatchling size in the common frog Rana temporaria,Ecography,23,531-538,0,0,1,0,NA
Scopus,"Pringle, C.M.",2000,Threats to U.S. public lands from cumulative hydrologic alterations outside of their boundaries,Ecological Applications,10,971-989,0,1,1,1,NA
WOS,L. A. Hansson,2000,Synergistic effects of food chain dynamics and induced behavioral responses in aquatic ecosystems,Ecology,81,842-851,0,0,1,0,NA
Scopus,"Preston, S. Coad, N., Townend, J., Killham, K. and G. Paton",2000,"BIOSENSING THE ACUTE TOXICITY OF METAL INTERACTIONS: ARE THEY ADDITIVE, SYNERGISTIC, OR ANTAGONISTIC?",Environmental Toxicology and Chemistry,,,1,1,1,0,NA
Scopus,"Nijs, I., Impens, I.",2000,Biological diversity and probability of local extinction of ecosystems,Functional Ecology,14,46-54,1,0,0,0,NA
Scopus,"Brown, B.E.",2000,Significance of pollution in eliciting the 'bleaching' response in symbiotic cnidarians,International Journal of Environment and Pollution,13,392-415,0,0,1,1,NA
WOS,R. Bijlsma,2000,Does inbreeding affect the extinction risk of small populations? predictions from Drosophila,Journal of Evolutionary Biology,13,502-514,0,0,1,0,NA
