id,antagonism,additive,synergy,not_tested,glm_interactions,null model,other
335,1,1,1,0,1,1,0
336,0,0,1,1,0,0,0
337,0,0,1,1,0,0,0
338,0,1,1,0,1,0,0
339,0,0,1,0,1,1,0
340,0,1,0,0,1,0,1
341,0,1,0,0,1,0,0
342,0,0,1,1,0,0,0
343,0,0,1,1,0,0,0
344,0,0,1,0,1,1,0
345,0,0,1,1,0,0,0
346,0,0,1,0,0,1,0
347,0,0,1,0,1,1,0
348,0,0,1,0,0,1,0
349,0,0,1,1,0,0,0
350,0,0,1,1,0,0,0
351,0,0,1,1,0,0,0
352,0,0,1,1,0,0,0
354,1,1,0,0,1,1,0
355,0,1,0,0,1,1,0
356,1,1,1,0,1,1,0
357,0,1,0,1,0,0,0
358,0,1,0,0,0,1,0
359,0,1,0,0,1,0,0
360,0,1,1,0,1,1,0
362,0,0,1,1,0,0,0
363,0,1,1,0,1,0,0
364,0,0,1,0,0,1,0
367,0,1,0,1,0,0,0
369,1,0,1,0,0,1,0
371,0,1,1,1,0,0,0
372,0,1,0,1,0,0,0
374,1,1,1,1,0,0,0
375,0,0,1,1,0,0,0
377,0,1,0,0,0,1,0
379,1,1,1,0,0,0,1
380,0,0,1,0,1,0,0
381,1,1,1,0,0,1,0
382,0,0,1,1,0,0,0
383,0,0,1,1,0,0,0
384,0,0,1,1,0,0,0
385,1,1,1,0,0,0,1
386,1,1,1,0,0,0,1
387,1,1,1,0,0,0,1
388,0,1,0,1,0,0,0
389,0,0,1,1,0,0,0
390,0,0,1,1,0,0,0
391,1,0,1,0,1,1,0
392,0,1,0,0,1,0,0
393,0,1,1,0,0,1,0
394,0,0,1,1,0,0,0
395,0,0,1,1,0,0,0
396,0,0,1,1,0,0,0
397,0,0,1,1,0,0,0
398,1,1,1,0,1,1,0
399,1,1,1,0,1,1,0
400,0,1,0,0,1,1,0
401,0,0,1,1,0,0,0
402,1,0,1,0,0,1,0
403,1,0,1,0,0,1,0
405,0,1,0,0,1,0,0
406,0,0,1,1,0,0,0
407,0,0,1,0,1,1,0
408,0,0,1,1,0,0,0
410,1,1,1,1,0,0,0
411,1,1,1,0,0,0,1
412,0,0,1,1,0,0,0
413,0,0,1,1,0,0,0
415,1,1,0,1,0,0,0
416,0,1,0,0,1,0,0
418,0,0,1,0,0,0,0
419,0,0,1,1,0,0,0
420,1,1,1,0,1,0,0
422,0,0,1,1,0,0,0
423,0,0,1,1,0,0,0
425,1,1,1,0,1,0,0
426,1,1,1,0,0,0,0
427,1,1,1,0,1,0,0
428,1,1,1,1,0,0,0
429,1,1,1,1,0,0,0
430,0,0,1,1,0,0,0
431,0,0,1,1,0,0,0
432,0,0,1,1,0,0,0
433,1,1,1,0,1,1,0
434,1,0,1,0,0,1,0
435,1,1,1,0,1,1,0
436,0,0,1,1,0,0,0
437,0,0,1,1,0,0,0
438,0,0,1,0,1,0,0
439,0,0,1,1,0,0,0
440,0,0,1,1,0,0,0
441,0,0,1,1,0,0,0
443,0,0,1,1,0,0,0
444,0,0,1,0,1,0,0
445,0,1,1,0,1,1,0
447,0,1,1,0,1,0,0
448,1,1,1,0,0,1,0
449,0,1,0,0,1,0,0
450,0,0,1,1,0,0,0
451,0,1,1,0,1,0,0
452,0,0,0,0,1,0,0
453,0,0,0,0,1,0,0
454,0,0,1,0,1,0,0
455,0,1,0,0,1,0,0
456,1,1,1,0,0,0,1
458,0,0,1,1,0,0,0
459,1,1,1,0,1,0,0
460,0,0,1,1,0,0,0
461,1,1,1,0,1,1,0
462,0,0,1,1,0,0,0
463,1,1,1,0,0,1,0
464,1,1,1,0,1,0,0
465,0,1,1,0,1,0,0
467,1,0,0,0,1,0,0
470,0,0,1,0,0,0,1
471,1,1,1,0,1,0,0
473,0,0,1,0,1,0,0
474,1,0,1,0,0,1,0
475,0,0,1,1,0,0,0
476,0,0,1,1,0,0,0
477,1,1,1,0,1,1,0
478,1,1,1,0,1,0,0
479,0,0,1,1,0,0,0
481,0,0,1,1,0,0,0
482,1,1,1,0,0,1,0
483,1,1,1,0,0,1,0
485,0,0,1,0,0,1,0
486,0,1,0,1,0,0,0
488,1,1,1,0,0,1,0
489,1,1,1,1,0,0,0
490,0,0,1,1,0,0,0
492,1,1,1,0,0,1,0
493,0,1,0,1,0,0,0
494,1,1,1,1,0,0,0
495,0,0,1,1,0,0,0
496,0,0,1,0,1,0,0
497,0,0,1,1,0,0,0
498,0,1,0,0,1,0,0
499,0,0,1,1,0,0,0
500,0,0,1,0,1,0,0
501,0,0,1,1,0,0,0
502,1,1,1,0,0,1,0
503,0,0,1,1,0,0,0
504,0,0,1,1,0,0,0
505,1,1,1,1,0,0,0
506,0,0,1,0,1,0,0
507,1,1,1,0,0,1,0
508,0,0,1,1,0,0,0
509,1,1,1,0,1,0,0
510,0,0,1,1,0,0,0
511,0,0,1,1,0,0,0
512,0,0,1,0,1,0,0
513,1,0,1,0,1,0,0
514,0,0,1,0,1,0,0
515,1,1,1,1,0,0,0
516,0,0,1,1,0,0,0
517,0,0,1,1,0,0,0
519,1,1,1,1,0,0,0
520,0,0,0,0,0,1,0
521,0,1,1,1,0,0,0
